firm_id,year,total_assets,total_debt,market_cap,equity_volatility,risk_free_rate,esg_score,carbon_intensity,interest_expense,cost_of_debt,pd_merton,distance_to_default
SHIP-01,2016,2485.2266,958.4207,1230.0661,0.529858,0.010964,31.3668,1115.0847,24.0666,0.02511067,0.0043429763,2.6241735
SHIP-01,2017,2353.2947,865.6618,1590.1045,0.548452,0.017576,34.1143,1057.7317,24.1651,0.02791521,0.0028192721,2.76809254
SHIP-01,2018,3028.0297,1310.2307,1747.6687,0.535808,0.019517,39.8068,842.9561,38.8762,0.02967125,0.0043888239,2.62059497
SHIP-01,2019,2777.2298,1157.3817,1909.297,0.456781,0.012633,41.7746,921.1789,31.1728,0.02693392,0.0004935237,3.29419286
SHIP-01,2020,2799.8509,1226.7946,1251.764,0.430109,0.01714,45.4042,893.0917,29.4265,0.0239865,0.0008476241,3.13900108
SHIP-01,2021,2821.2894,1233.0146,1310.4893,0.433739,0.020418,38.6079,805.9875,28.3428,0.02298655,0.0008422071,3.14087934
SHIP-01,2022,3225.6752,1472.3607,1850.8774,0.511322,0.017561,42.1411,742.2355,42.3696,0.02877664,0.0032387103,2.72258073
SHIP-01,2023,3831.1913,1446.1654,1959.1719,0.526379,0.008233,40.7652,774.2992,32.7535,0.02264851,0.0037176951,2.67668771
SHIP-01,2024,3728.3207,1354.1073,2079.0909,0.445077,0.008888,46.1803,772.9548,32.8907,0.02428962,0.0004441384,3.32371263
SHIP-01,2025,3127.4942,1189.3422,2107.3773,0.498632,0.009479,49.589,721.0173,29.6794,0.02495443,0.0011624132,3.04525559
SHIP-02,2016,3632.9392,1040.1258,2604.7922,0.346569,0.009499,35.7753,266.6648,22.5906,0.02171906,3.66e-07,4.95268668
SHIP-02,2017,3783.7124,1373.1673,2211.5748,0.417365,0.014801,40.6516,280.953,33.9641,0.02473413,0.0001523331,3.61129984
SHIP-02,2018,3536.3813,1295.0653,2499.4066,0.455076,0.019028,40.6394,259.1828,36.3236,0.02804772,0.0002766093,3.45357001
SHIP-02,2019,3419.8552,1200.4037,2522.6511,0.442004,0.021059,43.2382,240.8422,30.2267,0.02518046,0.0001308522,3.65052552
SHIP-02,2020,3762.7001,1380.1677,2659.9559,0.554321,0.021119,42.5431,256.9879,35.6559,0.02583445,0.0027773291,2.77297387
SHIP-02,2021,3193.6749,1096.6845,2373.9739,0.512887,0.017135,42.3199,228.238,26.4983,0.02416217,0.0008976314,3.12216501
SHIP-02,2022,4103.704,1271.6384,3026.6132,0.342526,0.012471,38.8796,264.1556,31.1793,0.02451903,3.781e-07,4.94635306
SHIP-02,2023,3486.7179,1244.8065,2216.5598,0.449603,0.009723,48.1819,227.9513,30.1314,0.02420568,0.0003173007,3.41637775
SHIP-02,2024,3749.3284,1027.7683,3561.7645,0.413808,0.010099,48.2532,239.4737,22.255,0.0216537,3.2026e-06,4.51255529
